administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,project_value_rands,br_featured,featured,financial_year,budget_phase,amount_rands,project_slug
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2016,Audited Outcome,0,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2017,Audited Outcome,0,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2018,Audited Outcome,59176000,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2019,Adjusted Appropriation,60000000,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2020,MTEF,117705000,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2021,MTEF,118943000,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Siloam hospital,Construction of new hospital,"-22.89266, 30.19429",New infrastructure assets,District hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,1350000000,,True,2022,MTEF,150000000,health-limpopo-siloam-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2016,Audited Outcome,22692000,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2017,Audited Outcome,985000,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2018,Audited Outcome,0,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2019,Adjusted Appropriation,28000000,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2020,MTEF,30000000,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2021,MTEF,30000000,health-limpopo-tshilidzini-hospital
National,Health,Social Services,Limpopo: Tshilidzini hospital,Replacement of hospital,"-22.9947, 30.41415",New infrastructure assets,Regional hospital,Feasibility,SIP 12: Revitalisation of public hospitals and other health facilities,1945949000,,True,2022,MTEF,150000000,health-limpopo-tshilidzini-hospital
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2016,Audited Outcome,76171000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2017,Audited Outcome,82349000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2018,Audited Outcome,164224000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2019,Adjusted Appropriation,40000000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2020,MTEF,120000000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2021,MTEF,268527000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Madibeng bulk water supply phase 2,Upgrading of existing bulk water scheme,"-23.630995, 30.307147",Upgrading and additions,Bulk Water Supply,Construction,SIP 4: Unlocking the economic opportunities in the Both West Province,586788000,,True,2022,MTEF,144000000,water-and-sanitation-madibeng-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2016,Audited Outcome,35147000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2017,Audited Outcome,35007000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2018,Audited Outcome,138200000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2019,Adjusted Appropriation,20000000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2020,MTEF,43000000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2021,MTEF,50000000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Mafikeng South bulk water supply phase 2,Construction of new bulk water scheme,"-25.980339, 25.560164",New infrastructure assets,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,286648000,,True,2022,MTEF,35000000,water-and-sanitation-mafikeng-south-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2016,Audited Outcome,26282000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2017,Audited Outcome,9902000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2018,Audited Outcome,27461000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2019,Adjusted Appropriation,50832000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2020,MTEF,66000000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2021,MTEF,80000000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Maluti-A-Phofung bulk water supply phase 2,Construction of new bulk water scheme,"-28.611538, 28.764670",New infrastructure assets,Bulk Water Supply,Construction,Sip 3: South eastern note and corridor development,261962000,,True,2022,MTEF,50000000,water-and-sanitation-maluti-a-phofung-bulk-water-supply-phase-2
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2016,Audited Outcome,0,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2017,Audited Outcome,0,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2018,Audited Outcome,122000,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2019,Adjusted Appropriation,60000000,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2020,MTEF,153064000,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2021,MTEF,70000000,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Masilonyana bulk water supply phase 1,Upgrading of existing bulk water scheme,"-28.854401, 26.585176",Upgrading and additions,Bulk Water Supply,Construction,SIP 18. Water and sanitation master plan,304941000,,True,2022,MTEF,0,water-and-sanitation-masilonyana-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2016,Audited Outcome,1059000,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2017,Audited Outcome,2548000,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2018,Audited Outcome,20199000,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2019,Adjusted Appropriation,0,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2020,MTEF,0,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2021,MTEF,121960000,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Matjhabeng bulk sewer (Welkom),Upgrading of existing water treatment works and construction of new bulk water scheme,"-28.140354, 27.038957",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,420000000,,True,2022,MTEF,171044000,water-and-sanitation-matjhabeng-bulk-sewer-welkom
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2016,Audited Outcome,40861000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2017,Audited Outcome,37455000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2018,Audited Outcome,70649000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2019,Adjusted Appropriation,56749000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2020,MTEF,105000000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2021,MTEF,80000000,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Meyerton wastewater treatment works phase 1,Upgrading of existing wastewater treatment works,"-26.615177, 28.010499",Upgrading and additions,Waste Water Services,Construction,SIP 18. Water and sanitation master plan,326995000,,True,2022,MTEF,0,water-and-sanitation-meyerton-wastewater-treatment-works-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2016,Audited Outcome,161067000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2017,Audited Outcome,142177000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2018,Audited Outcome,142114000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2019,Adjusted Appropriation,183558000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2020,MTEF,74434000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2021,MTEF,180739000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mogalakwena bulk water supply phase 1,Upgrading of boreholes and construction of new bulk water scheme,"-23.745589, 28.611827",Upgrading and additions,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1399590000,,True,2022,MTEF,394365000,water-and-sanitation-mogalakwena-bulk-water-supply-phase-1
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2016,Audited Outcome,753000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2017,Audited Outcome,872000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2018,Audited Outcome,3806000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2019,Adjusted Appropriation,37500000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2020,MTEF,50000000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2021,MTEF,65000000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mohlakeng pump station and sewer outfall,Upgrading of existing wastewater treatment works,"-26.222740, 27.694956",Upgrading and additions,Waste Water Services,Feasibility,SIP 18. Water and sanitation master plan,147925000,,True,2022,MTEF,100000000,water-and-sanitation-mohlakeng-pump-station-and-sewer-outfall
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2016,Audited Outcome,143048000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2017,Audited Outcome,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2018,Audited Outcome,101250000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2019,Adjusted Appropriation,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2020,MTEF,30000000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2021,MTEF,67342000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.149749, 26.283344",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,1000000000,,True,2022,MTEF,125000000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2016,Audited Outcome,143048000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2017,Audited Outcome,17032000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2018,Audited Outcome,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2019,Adjusted Appropriation,90000000,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2020,MTEF,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2021,MTEF,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mooihoek/Tubatse bulk water supply,Augmentation of existing bulk water scheme,"-30.156271, 26.281874",Rehabilitation and refurbishment,Bulk Water Supply,Construction,SIP 1: Unlocking the northern mineral belt with Waterberg as Catalyst,714000000,,True,2022,MTEF,0,water-and-sanitation-mooihoek-tubatse-bulk-water-supply
National,Water and Sanitation,Economic Services and Infrastructure,Mount Ayliff bulk peri-urban water supply,Construction of new bulk water scheme,"-30.818869, 29.363948",New infrastructure assets,Bulk Water Supply,Feasibility,SIP 6: Integrated municipal infrastructure project,322797000,,True,2016,Audited Outcome,49364000,water-and-sanitation-mount-ayliff-bulk-peri-urban-water-supply
